"";"Overall"
"msp_0466";0
"msp_0467";0,222942236361114
"msp_0468";1,02123719907643
"msp_0469c";0,0510243249930289
"msp_0470";0,0213168291081987
"msp_0471";0,440622391381189
"msp_0472";0,0664132270511116
"msp_0473c";0,277010828198038
"msp_0474";0,0923762527318306
"msp_0475";0
"msp_0476";0
"msp_0477";0,380440963183276
"msp_0478";4,20711091451023
"msp_0479";0
"msp_0480";0,343869522304364
"msp_0481";0
"msp_0482";0,0970270983064592
"msp_0483";0
"msp_0484";0,303451149897888
"msp_0485";0
"msp_0486";0,128505707389851
"msp_0487";1,00519836218322
"msp_0488";0,331755770520454
"msp_0489";0,368309895369393
"msp_0490";0,0490096740657248
"msp_0491";0,0233152818370924
"msp_0492";0,174021619903629
"msp_0493";0
"msp_0494";0
"msp_0495";0
"msp_0496";0,026102239724325
"msp_0497";0,0985024905494238
"msp_0498";0,0258572081793881
"msp_0499";0,0257578351724068
"msp_0500";0,0478641764697981
"msp_0501";0,0233152818370924
"msp_0502";0
"msp_0503";0,141959055914513
"msp_0504";0,0489991002417624
"msp_0505";0,0840341364198486
"msp_0506";1,18918249431698
"msp_0507";0,349549853396116
"msp_0508";0,0239814327467236
"msp_0509";0,797614208323408
"msp_0510";0,0955858681845688
"msp_0511";0
"msp_0512";0,550766767840163
"msp_0513";0
"msp_0514";0
"msp_0515";0,09403538169509
"msp_0516";0,0521460066894108
"msp_0517";0
"msp_0518";0,267556993795314
"msp_0519";0
"msp_0520c";0
"msp_0521";0,0222050303210404
"msp_0522";0,600614494689702
"msp_0523";0
"msp_0524";0,530551345300121
"msp_0525";0
"msp_0526";0,21518422539498
"msp_0527";0,0716048809069314
"msp_0528";0
"msp_0529";0
"msp_0530";1,52916914526782
"msp_0531";0
"msp_0532";0
"msp_0533";0,207413062348671
"msp_0534";0,32420107378075
"msp_0535";0,0689028819658949
"msp_0536";0,697565980786505
"msp_0537";0,0756081282431424
"msp_0538";0,729108085951543
"msp_0539";0
"msp_0540";0
"msp_0541";0,857956379075803
"msp_0542";0,173187594617126
"msp_0543c";0
"msp_0544c";0
"msp_0545";12,4329101444769
"msp_0546";0,352396806960512
"msp_0547";0
"msp_0548";0
"msp_0549";0,0526460845243073
"msp_0550";0,0177640242568323
"msp_0551";0,206181685514021
"msp_0552";0,174475084856459
"msp_0553";0,35654860734984
"msp_0554";0,394564898749081
"msp_0555";0,0503044868727569
"msp_0556";0,0254348529131917
"msp_0557";0
"msp_0558";0,0248696339595652
"msp_0559";0,0414493899326087
"msp_0560";4,12539500679629
"msp_0561";0
"msp_0562";0,159282902083625
"msp_0563";0,284362661191902
"msp_0564";0,234649299678846
"msp_0565";0,283498092637455
"msp_0566";0,269419268633314
"msp_0567";0
"msp_0568";0
"msp_0569";0
"msp_0570";0,0708594029633633
"msp_0571";0
"msp_0572";0,774512734218919
